Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
Kylian;Jacques;;;;
Kylman;Regnier;;;;
Labarthe;Barthélemy;;;;
Labbe;Philippe;;x;;
Lacarry;Gilles (Vuitanus?);;;;
Lachmayr;Charles;;;;
Lafitau;Joseph François;;x;;
Lagrange;Louis;;;;
Lamberti;Jean;;;;
Lampard, Lampater;Henri;x;;;
Lana-Terzi;François;;x;;
Langer;George;;;;
Languedoc;Michel;;;;
Lantz;Jean;;;;
Laroque;Gaspar Lautent;;;;
Laroquette;Pierre Joseph;;;;
Lauro;Lauretus;;;;
Laval;Antoine de;;x;;
Layman;Paul;;x;;
Leal;Antoine;x;;;
Lecchi;Jean Antoine;;x;;
Leinberger;Wolfgang;;;;
Leone;Jean di;;;;
Léotaud;Vicent;;;;
Leslie;André;x;;;
Leurechon;Jean;;;;
Liesganig;Joseph;;x;;
Lima;François de;;;;
Line, Linius or Hallo;François;;x;;
Linek;Charles;x;;;
Lippay;Jean;;x;;
Lipsics;Michel;;;;
Lohe;Henri;;;;
Lombardi;Jéromôme;x;;;
Longobardi;Nicolas;;x;;
Lotti;Charles;;;;
Loubere;Antoine de la;;x;;
Loureiro;Jean de;;x;;
Lozano;Pierre;;;;
Lozeran Du Fesc;Louis Antoine;;;;
Lubecki;Jean;;;;
Lucas;Joseph Michel;;;;
Ludescher;Fidéle;;;;
Luino;François;;;;
Lumm;Hermann;;;;
Lupperger;Jacques;;;;
Luskina;Etienne;;x;x;
Lux, Luz;Christophe;;;;
Maciejowski;Jacques;;;;
Macrini;Jean;;;;
Maelcote;Odon van;;;;
Maendl;Gaspar;x;;;
Maggioni;Jean;;;;
Mahoudeau;Jean Mathias;;;;
Maire;Christophe;;x;;
Mairhofer;Mathias;;;;
Mako de Kerck-Gede;Paul;;x;;
Malagrida;Gabriel;x;;;
Malapert;Charles;;;x;
Mangold;Joseph;;;;
Manhart;Jean;;;;
Manicor;Antoine;;;;
Mannhart;François-Xavier;;;;
Maralt;Frédéric;;;;
Marcellius;Henri;;;;
Marche;Jean Francois de la;;;;
Marchelli;Jean;;;;
Marck;Michel;;;;
Mariana;Jean;x;;;
Marinis;Dominique de;;;;
Martini;Jacques;;;;
Martins;Ignace;;;;
Masculus;Jean-Baptiste;;;;
Maso;Jacques;;;;
Mattioli;Hercule;;;;
Maugeraye;Francois de la;;;;
Mayer;Christian;;x;;
Mayr;Jean;;;;
Mayr;Pierre;;;;
Mazzolari;Joseph Marie (or Josephus Marianus Parthenius);x;;;
Meisner;Ferdinand;;;;
Melchior;Hermes;;;;
Melzi;Antoine;;;;
Menegatti;Francois;;;;
Menestrier;Claude Francois;;;;
Menoux;Joseph de;x;;;
Mercatelle;?;;;;
Merville;Jean Nicolas Cairon de;;;;
Metzger;Wolfgang;;;;
Mezbourg;Gegorges Ignace von;;;;
Middenndorf;Lubert;;;;
Militor;Isaie;;;;
Minet;Louis;;;;
Mire;Nicolas Joseph le;;;;
Mitterdorffer;Sébastien;;;;
Molitor;Isaïe;;;;
Mondegai;Michel;x;;;
Monestier;Blaise;;;;
Monschein;Joseph;;;;
Montauzan;François de;;;;
Montegnana;Ferdinand de;;;;
Monteiro;Ignacio;;x;;
Montenegro;Pierre;x;;;
